loại nhà đất,địa chỉ,giá,diện tích,giá/m2,mặt tiền,phòng ngủ,pháp lý,tọa độ x,tọa độ y,số tầng
6,3,8400.0,300.0,28.0,,,2.0,10404935589.7327,106917712026.282,
0,13,5400.0,71.0,76.06,,2.0,1.0,10791279792.7856,106755027770.996,
0,20,3580.0,67.0,53.43,,2.0,1.0,10800068571.6039,106792675446.932,
2,23,6000.0,56.0,107.14,4.0,2.0,1.0,10795899442.905,106621957398.313,2.0
0,18,5700.0,69.0,82.61,,2.0,1.0,10750336666.21193,106722640096.09293,
0,20,2600.0,63.0,41.27,,2.0,1.0,10800976021.144217,106821324033.67377,
0,20,3490.0,67.0,52.09,,2.0,1.0,10800131441.7081,106792268084.041,
2,21,8000.0,67.7,118.17,4.12,4.0,1.0,10845449096.234,106718274046.763,3.0
0,13,18500.0,150.0,123.33,,3.0,1.0,10801390436.7688,106748489576.75732,
4,7,8500.0,258.6,32.87,7.0,4.0,1.0,10699691304.6306,106686311726.015,3.0
0,13,6800.0,79.0,86.08,,2.0,1.0,10775938110.012665,106755903494.62566,
